divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05321,GUATAPÉ,ANTIOQUIA,6.0,416.24462890625,9842.0,6533.0,3309.0,17.982988357543945,0.0008,0.00032757517594369796,0.0,0.0,0.4411,0.09940076530612243,20.026845042122478,0.23979591836734693,0.0,2360.0
05347,HELICONIA,ANTIOQUIA,5.5,800.1721801757812,4961.0,2262.0,2699.0,56.646705627441406,0.0025,0.0008591770688858068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05353,HISPANIA,ANTIOQUIA,6.199999809265137,707.50927734375,5966.0,3888.0,2078.0,35.25640869140625,0.0061,0.0011632512315270934,0.0,0.0,0.0254,0.000152734375,0.0,0.0,0.0,0.0
05360,ITAGÜÍ,ANTIOQUIA,6.0,583.1578979492188,306397.0,277025.0,29372.0,16.88581085205078,0.0009,0.00047999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05361,ITUANGO,ANTIOQUIA,4.800000190734863,819.0040893554688,29650.0,8614.0,21036.0,48.26912689208984,0.0016,0.0005591626655706466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05364,JARDÍN,ANTIOQUIA,6.400000095367432,756.2662353515625,15531.0,8504.0,7027.0,31.57305908203125,0.0284,0.001827215022480825,0.0,0.0,0.0077,1.8644067796610167e-05,0.0,0.0,0.0,0.0
05368,JERICÓ,ANTIOQUIA,6.400000095367432,676.41064453125,14414.0,8403.0,6011.0,27.270360946655273,0.0211,0.001179673744174003,0.0,0.0,0.0193,0.0002181159420289855,0.0,0.0,0.0,0.0
05376,LA CEJA,ANTIOQUIA,6.099999904632568,605.736572265625,74386.0,64591.0,9795.0,16.64093589782715,0.0015,0.0005834869739478958,0.0,0.0,0.0791,0.0024868719611021066,0.0,0.0,0.0,0.0
05380,LA ESTRELLA,ANTIOQUIA,5.800000190734863,770.8804931640625,84068.0,71815.0,12253.0,15.983997344970703,0.0018,0.0008063768115942029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05390,LA PINTADA,ANTIOQUIA,6.400000095367432,620.1583251953125,8722.0,7811.0,911.0,41.88834762573242,0.0083,0.0008237681159420289,0.0,0.0,0.0162,0.0007225680933852139,0.0,0.0,0.0,0.0
05400,LA UNIÓN,ANTIOQUIA,6.099999904632568,474.34619140625,24374.0,15128.0,9246.0,31.40096664428711,0.0012,0.0005870212092434315,0.0,0.0,0.0352,0.00142175572519084,0.0,0.0,0.0,0.0
